,STATE,CITY
1582,ny,new york
1595,ca,
1597,tx,dallas
1608,ny,new york
1610,ca,
1614,ma,
1620,ca,
1621,ca,
1625,nc,
1629,ca,
1634,ca,los angeles
1635,ca,los angeles
1639,ca,los angeles
1640,tx,dallas
1641,ca,los angeles
1647,ma,
1648,ca,los angeles
1650,tx,houston
1654,ny,new york
1657,tn,
1662,tx,
1664,ca,los angeles
1668,ny,columbus
1669,nc,
1671,fl,
1673,ca,los angeles
1682,fl,
1684,co,denver
1685,tx,dallas
1698,ny,new york
1702,tx,dallas
1707,tx,dallas
1711,ca,
1716,ca,
1722,mn,
1726,tx,
1728,dc,washington
1732,ma,boston
1733,il,
1734,ca,san francisco
1736,nv,las vegas
1737,nv,las vegas
1740,tx,fort worth
1741,tx,fort worth
1743,ca,
1744,ny,
1747,ny,new york
1752,al,
1755,ca,san francisco
1757,al,
1758,mi,
1765,ca,
1767,ca,
1770,co,denver
1779,pa,
1784,pa,philadelphia
1785,co,
1788,nv,las vegas
1789,ca,los angeles
1807,ca,
1812,ca,
1813,tx,
1817,ca,
1818,dc,washington
1828,ca,
1829,ca,
1830,ca,
1831,ca,
1833,ca,
1834,tx,austin
1837,ca,san francisco
1838,tx,
1842,ca,
1844,ca,san francisco
1848,sc,
1849,ca,
1852,ca,
1858,il,chicago
1859,va,
1861,ca,
1866,ny,
1873,pa,
1874,il,chicago
1875,ca,
1878,ny,new york
1882,ca,san francisco
1891,tx,
1896,ca,
1898,ca,los angeles
1899,ca,los angeles
1907,tx,austin
1908,ma,boston
1910,ri,
1911,dc,washington
1912,dc,washington
1915,ca,san jose
1917,tx,austin
1923,tx,austin
1925,oh,
1938,pa,philadelphia
1946,dc,washington
1950,ca,los angeles
1951,ca,san francisco
1952,fl,
1953,ca,los angeles
1955,il,chicago
1962,il,
1963,ma,
1969,ca,
1973,ca,
1974,wi,
1978,wi,
1979,tx,
1981,mn,
1984,sc,
1985,wi,
1988,ny,new york
1992,nv,las vegas
